RUNDATE,SOURCE_FILE,REPORT_NAME,YEAR,MONTH,ROW_NAME,CURRENT_MONTH,CALENDAR_YTD,FISCAL_YTD,CURRENCY
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Total,2025,April,Gross Terminal Revenue,115271421.36,441349917.5,1123538275.96,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Total,2025,April,Education Trust Fund,43799303.17,167695706.0,426327375.49,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Total,2025,April,Casino Operators,54170890.92,207411632.56,528563722.18,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Total,2025,April,Purse Dedication (6%),6921233.1,26499861.66,67467090.55,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Total,2025,April,Local Impact Grants (5.5%),6344875.99,24293112.05,61849399.11,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Total,2025,April,Race Tracks Facility Renewal Account (1%),1153332.68,4415857.48,11242231.97,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Total,2025,April,Lottery (1%),1151477.24,4408782.35,11221684.01,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Total,2025,April,"Small, Minority, Women Business / Commerce",1730308.26,6624965.4,16866772.65,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Total,2025,April,General Fund (0%),0.0,0.0,0.0,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Total,2025,April,Total,115271421.36,441349917.5,1123538275.96,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,Table Game Revenue - Total,2025,April,Gross Terminal Revenue,47369538.84,200342632.21,504162883.42,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,Table Game Revenue - Total,2025,April,Non-Banked Games,3729653.0,15156675.06,37326918.56,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,Table Game Revenue - Total,2025,April,Banked Games,43639885.84,185185957.15,466835964.86,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,Table Game Revenue - Total,2025,April,Total,47369538.84,200342632.21,504162883.42,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,Table Game Revenue - Total,2025,April,Education Trust Fund (20%) after 12/8/16 (15%),7105430.84,30051394.84,75624432.53,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,Table Game Revenue - Total,2025,April,Local Jurisdictions (5%),2368476.93,10017131.6,25208144.17,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,Table Game Revenue - Total,2025,April,Casino (80%),37895631.07,160274105.77,403330306.72,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - MGM National Harbor,2025,April,Gross Terminal Revenue,43464037.55,164835804.73,423969135.98,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - MGM National Harbor,2025,April,Education Trust Fund (41%),17837709.91,67652502.84,174052299.52,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - MGM National Harbor,2025,April,MGM National Harbor (44%),19102542.79,72441213.07,186267603.94,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - MGM National Harbor,2025,April,Purse Dedication (6%),2609808.96,9898015.66,25463495.06,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - MGM National Harbor,2025,April,Local Impact Grants (5.5%),2392488.77,9073836.63,23343649.38,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - MGM National Harbor,2025,April,Race Tracks Facility Renewal Account (1%),434886.21,1649341.46,4242859.71,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - MGM National Harbor,2025,April,Lottery (1%),434148.67,1646391.15,4233354.59,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - MGM National Harbor,2025,April,"Small, Minority, Women Business / Commerce (1.5%)",652452.24,2474503.92,6365873.78,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - MGM National Harbor,2025,April,General Fund (0%),,0.0,0.0,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - MGM National Harbor,2025,April,Total,43464037.55,164835804.73,423969135.98,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Live! Casino & Hotel,2025,April,Gross Terminal Revenue,43360743.2,169015313.18,428963059.38,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Live! Casino & Hotel,2025,April,Education Trust Fund (36%),15629734.49,60911853.83,154613124.83,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Live! Casino & Hotel,2025,April,Live! Casino & Hotel (49%),21222727.63,82737238.96,209966349.76,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Live! Casino & Hotel,2025,April,Purse Dedication (6%),2603606.76,10147471.0,25756195.75,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Live! Casino & Hotel,2025,April,Local Impact Grants (5.5%),2386803.05,9302394.44,23611380.45,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Live! Casino & Hotel,2025,April,Race Tracks Facility Renewal Account (1%),433852.7,1690972.15,4291932.1,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Live! Casino & Hotel,2025,April,Lottery (1%),433116.88,1688515.05,4285027.56,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Live! Casino & Hotel,2025,April,"Small, Minority, Women Business / Commerce (1.5%)",650901.69,2536867.75,6439048.93,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Live! Casino & Hotel,2025,April,General Fund (0%),,0.0,0.0,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Live! Casino & Hotel,2025,April,Total,43360743.2,169015313.18,428963059.38,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Horseshoe,2025,April,Gross Terminal Revenue,11168050.07,42820323.57,99932958.98,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Horseshoe,2025,April,Education Trust Fund (38%),4245891.11,16281097.4,38003656.71,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Horseshoe,2025,April,Horseshoe Casino (47%),5246502.8,20114107.96,46932926.65,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Horseshoe,2025,April,Purse Dedication (6%),670294.13,2570193.4,5999004.29,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Horseshoe,2025,April,Local Impact Grants (5.5%),614453.88,2356091.77,5499339.48,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Horseshoe,2025,April,Race Tracks Facility Renewal Account (1%),111706.89,428324.99,999707.94,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Horseshoe,2025,April,Lottery (1%),111627.73,427959.71,998572.84,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Horseshoe,2025,April,"Small, Minority, Women Business / Commerce (1.5%)",167573.53,642548.34,1499751.07,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Horseshoe,2025,April,General Fund (0%),,0.0,0.0,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Horseshoe,2025,April,Total,11168050.07,42820323.57,99932958.98,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Hollywood Casino Perryville,2025,April,Gross Terminal Revenue,6667224.88,25661609.85,62552340.81,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Hollywood Casino Perryville,2025,April,Education Trust Fund (43%),2869090.42,11044027.5,26917213.09,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Hollywood Casino Perryville,2025,April,Hollywood Casino (42%),2797496.67,10765921.52,26247276.5,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Hollywood Casino Perryville,2025,April,Purse Dedication (6%),400294.24,1540835.14,3755493.47,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Hollywood Casino Perryville,2025,April,Local Impact Grants (5.5%),366958.11,1412527.09,3442731.76,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Hollywood Casino Perryville,2025,April,Race Tracks Facility Renewal Account (1%),66704.84,256758.41,625817.54,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Hollywood Casino Perryville,2025,April,Lottery (1%),66607.05,256331.42,624935.1,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Hollywood Casino Perryville,2025,April,"Small, Minority, Women Business / Commerce (1.5%)",100073.55,385208.77,938873.35,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Hollywood Casino Perryville,2025,April,General Fund (0%),,0.0,0.0,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Hollywood Casino Perryville,2025,April,Total,6667224.88,25661609.85,62552340.81,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Ocean Downs Casino,2025,April,Gross Terminal Revenue,6907996.31,24886344.93,69640932.22,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Ocean Downs Casino,2025,April,Education Trust Fund (32%),2213774.09,7977300.28,22316764.1,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Ocean Downs Casino,2025,April,Ocean Downs Casino (53%),3657408.6,13173481.79,36871979.76,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Ocean Downs Casino,2025,April,Purse Dedication (6%),414768.79,1494409.46,4181302.33,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Ocean Downs Casino,2025,April,Local Impact Grants (5.5%),380228.81,1369977.72,3833097.62,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Ocean Downs Casino,2025,April,Race Tracks Facility Renewal Account (1%),69116.09,249017.05,696765.11,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Ocean Downs Casino,2025,April,Lottery (1%),69007.73,248556.26,695697.71,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Ocean Downs Casino,2025,April,"Small, Minority, Women Business / Commerce (1.5%)",103692.2,373602.37,1045325.59,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Ocean Downs Casino,2025,April,General Fund (0%),0.0,0.0,0.0,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Ocean Downs Casino,2025,April,Total,6907996.31,24886344.93,69640932.22,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Rocky Gap Resort Casino,2025,April,Gross Terminal Revenue,3703369.35,14130521.24,38479848.59,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Rocky Gap Resort Casino,2025,April,Education Trust Fund (27%),1003103.15,3828924.15,10424317.24,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Rocky Gap Resort Casino,2025,April,Rocky Gap Resort Casino (58%),2144212.43,8179669.26,22277585.57,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Rocky Gap Resort Casino,2025,April,Purse Dedication (6%),222460.22,848937.0,2311599.65,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Rocky Gap Resort Casino,2025,April,Local Impact Grants (5.5%),203943.37,778284.4,2119200.42,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Rocky Gap Resort Casino,2025,April,Race Tracks Facility Renewal Account (1%),37065.95,141443.42,385149.57,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Rocky Gap Resort Casino,2025,April,Lottery (1%),36969.18,141028.76,384096.21,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Rocky Gap Resort Casino,2025,April,"Small, Minority, Women Business / Commerce (1.5%)",55615.05,212234.25,577899.93,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Rocky Gap Resort Casino,2025,April,General Fund (0%),,0.0,0.0,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,VLT Gaming Revenue - Rocky Gap Resort Casino,2025,April,Total,3703369.35,14130521.24,38479848.59,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,Table Games Revenue - MGM National Harbor,2025,April,Gross Terminal Revenue,25138045.93,108663369.61,271851909.22,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,Table Games Revenue - MGM National Harbor,2025,April,Non-Banked Games,2022234.0,7953726.06,19703645.56,USD
2026-02-04 23:32:37,APRIL-2025-CASINO-REVENUE-DATA.pdf,Table Games Revenue - MGM National Harbor,2025,April,Banked Games,23115811.93,100709643.55,252148263.66,USD
